rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.42931804,-0.008114895,-0.0031250003,-0.0064679515,-0.014312047,-0.054873012,0.0032979092,-0.00059313345,-0.015331974,-0.04711413,-0.08613496,-0.012049811,-0.03656131,0.0,-0.0034784263,-0.007185243,0.010582007,0.026620071,0.88854164,-22.411462783813477
-0.72427624,-0.014066769,-0.007908333,-0.012398379,-0.027033953,-0.09443195,0.0057219835,-0.0007089667,-0.027350705,-0.07310554,-0.16092731,-0.021463392,-0.06527057,0.0,-0.004965363,-0.012231189,0.01393472,0.03736677,0.851875,-23.137003421783447
-0.8044051,-0.019363657,-0.009512499,-0.014411594,-0.03320416,-0.13034779,0.0053855083,-0.00065759453,-0.035070818,-0.07730451,-0.21200797,-0.026786303,-0.088035785,0.0,-0.008113808,-0.015847215,0.015355404,0.032253005,0.81875,-25.2985106248122
-1.098005,-0.01804328,-0.007983333,-0.017995678,-0.03734553,-0.09533652,0.0044304095,-0.0013837334,-0.030563897,-0.06334409,-0.19378123,-0.031991366,-0.083538495,0.0,-0.00850198,-0.014145156,0.021682993,0.06846534,0.77666664,-27.60962690006603
-1.1381865,-0.021214224,-0.0101625,-0.020679442,-0.043174293,-0.12099318,0.00546233,-0.0010224502,-0.033688925,-0.0952362,-0.21624237,-0.036605753,-0.104352325,0.0,-0.008223362,-0.01620832,0.024004698,0.06547165,0.728125,-29.1018742528455
-1.1567569,-0.021598939,-0.011299999,-0.023149401,-0.04309997,-0.12568963,0.008491909,-0.0016436836,-0.037302583,-0.06950842,-0.22737065,-0.04180648,-0.10826739,0.0,-0.008705646,-0.017437315,0.032341912,0.09140464,0.6972916,-30.261223248073033
-1.1756449,-0.026105631,-0.019174999,-0.024580251,-0.046681195,-0.117850125,0.0068503385,-0.0018063001,-0.03508451,-0.076583534,-0.22160569,-0.04394942,-0.10951196,0.0,-0.010364161,-0.019537859,0.032044448,0.051439248,0.650625,-30.88442698392001
