rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.25153908,-0.0033977237,-0.00090000004,-0.0028036097,-0.0062693707,-0.02009009,0.0010536778,-0.00037340005,-0.00533487,-0.034610283,-0.030692866,-0.004987822,-0.013317614,0.0,-0.0011870416,-0.0029220486,0.0054523973,0.01040216,0.89875,-19.128366470336914
-0.7604069,-0.012910886,-0.0050875,-0.009447455,-0.0221139,-0.07639451,0.0030632447,-0.0006495334,-0.019191578,-0.08169209,-0.11476954,-0.016846605,-0.051176276,0.0,-0.0042961705,-0.010418586,0.012413271,0.016723353,0.8737501,-21.94828142438616
-0.89705324,-0.015731093,-0.0119,-0.011936516,-0.028873742,-0.09516828,0.002579688,-0.0004914333,-0.028124958,-0.081712924,-0.15232036,-0.02180486,-0.06557939,0.0,-0.0055171093,-0.012796916,0.013819627,0.027204532,0.83916664,-23.96735715866089
-0.91744804,-0.015744854,-0.009533334,-0.015021181,-0.031291254,-0.09011601,0.0048338864,-0.0010044224,-0.025140634,-0.06352462,-0.17543373,-0.02724589,-0.07519317,0.0,-0.007044223,-0.013044221,0.015527966,0.04740014,0.7977084,-25.77007905030862
-0.98867357,-0.01892604,-0.01,-0.018115826,-0.03612394,-0.13396226,0.0046185926,-0.0013626501,-0.03457519,-0.075347856,-0.22195888,-0.03175261,-0.09457898,0.0,-0.008004604,-0.015848821,0.01823861,0.05192744,0.75333333,-27.42251874886307
-0.9969956,-0.018076343,-0.013999999,-0.01702184,-0.03562088,-0.10468811,0.0021047355,-0.00095911126,-0.031735316,-0.076585576,-0.19534257,-0.030817352,-0.082956225,0.0,-0.0077159884,-0.014389686,0.022324897,0.055505246,0.72229165,-28.956365151838824
-1.1389499,-0.022508567,-0.016525,-0.021537334,-0.044055484,-0.13861972,0.0039012644,-0.0008732113,-0.038579293,-0.07816841,-0.24456,-0.038140316,-0.10778105,0.0,-0.00952712,-0.017780444,0.023488622,0.05283327,0.6860417,-30.527956474659053
-1.3937099,-0.025544032,-0.018062498,-0.02423425,-0.047286503,-0.136145,0.006890375,-0.0016217668,-0.037948873,-0.085582815,-0.25023317,-0.043299776,-0.114015035,0.0,-0.009729415,-0.01961292,0.027662456,0.07313581,0.65,-31.702213424997232
