rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.5352359,-0.009488292,-0.0041124998,-0.0074315867,-0.016368892,-0.06476301,0.003369905,-0.00064976676,-0.018257402,-0.060493805,-0.10211408,-0.013847458,-0.042425543,0.0,-0.0049093217,-0.0085012065,0.011157254,0.026270976,0.88874996,-21.328972180684406
-0.697829,-0.014406736,-0.007725,-0.012346852,-0.0275012,-0.09005573,0.0048929085,-0.0007821,-0.027241364,-0.07497002,-0.15591589,-0.021613315,-0.06396963,0.0,-0.0054183654,-0.012056413,0.014716546,0.039617416,0.8520834,-23.28437328338623
-0.8036797,-0.019119594,-0.010208332,-0.014683204,-0.03046842,-0.12218167,0.0036958554,-0.0009618446,-0.03589368,-0.08135246,-0.20302138,-0.026927551,-0.08619305,0.0,-0.007072177,-0.015461829,0.015347358,0.034935556,0.823125,-25.738865463821977
-0.9772862,-0.017848639,-0.008558333,-0.017692246,-0.0347673,-0.09822105,0.0053930655,-0.0013845557,-0.031325117,-0.07151648,-0.1884766,-0.03189251,-0.08468406,0.0,-0.007248043,-0.013960837,0.020043617,0.053459655,0.77458334,-27.795447879367405
-0.9772708,-0.021097515,-0.019250002,-0.020330055,-0.043015208,-0.12243359,0.006073813,-0.0015214001,-0.038702767,-0.0707273,-0.22791538,-0.036999583,-0.10105296,0.0,-0.009765143,-0.016623648,0.02697562,0.07120529,0.7289583,-28.674615547873756
-1.1393054,-0.023935016,-0.014258333,-0.022695666,-0.041042928,-0.1005285,0.0067896405,-0.0021033224,-0.0325668,-0.0697965,-0.19857106,-0.04116877,-0.09864076,0.0,-0.009623444,-0.018153645,0.028142445,0.054405913,0.7064583,-30.0847100055579
-1.3507082,-0.027488008,-0.017175,-0.026240539,-0.047112357,-0.10593547,0.006881965,-0.0020038174,-0.03479457,-0.077224955,-0.2216032,-0.047006473,-0.11462939,0.0,-0.008517675,-0.01904134,0.0314247,0.10449667,0.66875,-31.650956129416443
